paperID,title,year,link,abstracts
25a03c04021f0babdaf4f8492643e35433e51e25,Curcumin and Its Analogs in Non-Small Cell Lung Cancer Treatment: Challenges and Expectations,2022,https://www.mdpi.com/2218-273X/12/11/1636/pdf?version=1667544941,"[""carcinoma treatment."", ""due to chemoradiotherapy, targeted therapy, and immunotherapy, overall NSCLC recovery and survival rates remain low. Thus, there is an urgent need for the continued development of novel NSCLC drugs or combination therapies with less toxicity.""]"
21452e310748449cb8f6628d302c9172dbfe14c0,Polish Consensus on Gastric Cancer Diagnosis and Treatment - Update 2022.,2022,http://ruj.uj.edu.pl/bitstreams/e9514133-b6af-4b59-a41f-32133d6a5699/download,"[""2021 in Krakow, and finalized below for publication in 2022. The effective date of this document is June 14th 2022. The work that went into updating this consensus was made under auspices of the Polish Society of Surgical Oncology and the Association"", ""This document - \""Polish Consensus on Gastric Cancer Diagnosis and Treatment - Update 2022\"" - represents an expert consensus following a year's worth of dedicated effort by a team of specialists throughout 2021, put forward in a conference in December""]"
ef3a7c5bea4f57ffdda587f7a194fedf7617b2ca,Cancer in 2022.,2022,https://aacrjournals.org/cancerdiscovery/article-pdf/12/12/2733/3227722/2733.pdf,"[""Excerpts from the 12th edition of the annual AACR Cancer Progress Report (https://cancerprogressreport.aacr.org/progress/) to U.S. Congress and the public highlight how medical research continues to extend and improve lives by accelerating advances"", ""in cancer prevention, detection, diagnosis, and treatment. Current challenges are described, and a call to action is issued.""]"
c9da65bfbbe51aea81054cd3f69531ffa88d6b5c,Do Bacteria Provide an Alternative to Cancer Treatment and What Role Does Lactic Acid Bacteria Play?,2022,https://www.mdpi.com/2076-2607/10/9/1733/pdf?version=1661942838,"[""Cancer is one of the leading causes of mortality and morbidity worldwide. According to 2022 statistics from the World Health Organization (WHO), close to 10 million deaths have been reported in 2020 and it is estimated that the number of cancer cases"", ""world-wide could increase to 21.6 million by 2030. Breast, lung, thyroid, pancreatic, liver, prostate, bladder, kidney, pelvis, colon, and rectum cancers are the most prevalent. Each year, approximately 400,000 children develop cancer. Treatment"", ""between countries vary, but usually includes either surgery, radiotherapy, or chemotherapy. Modern treatments such as hormone-, immuno- and antibody-based therapies are becoming increasingly popular. Several recent reports have been published on""]"
9e19d212f9724aa9c62ad8525ac0a07741e59c72,Chinese Society of Clinical Oncology Breast Cancer (CSCO BC) guidelines in 2022: stratification and classification,2022,https://www.cancerbiomed.org/content/cbm/19/6/769.full.pdf,"[""classification and stratification treatment of breast cancer 1 . Here, we discuss the major updates included in the 2022 CSCO BC guidelines."", ""In April 2017, the first edition Chinese Society of Clinical Oncology Breast Cancer (CSCO BC) guidelines were released. These guidelines were based on medical evidence, as well as the accessibility and cost effectiveness of various anticancer drugs""]"
4457fb75027ac191cf431942754bc9546a9ea792,AIRO Breast Cancer Group Best Clinical Practice 2022 Update,2022,https://journals.sagepub.com/doi/pdf/10.1177/03008916221088885,"[""to 2021 was performed. The work was organized according to a general index of different topics and most chapters included individual questions and, when possible, synoptic and summary tables. Indications for radiation therapy in breast cancer were"", ""local relapse, and metastatic disease, with focus on diagnosis, staging, local and systemic therapies, and follow up. Information is given on indications, techniques, total doses, and fractionations. Results: An extensive literature review from 2013"", ""examined and integrated with other oncological treatments. A total of 50 questions were analyzed and answered. Four large areas of interest were investigated: (1) general strategy (multidisciplinary approach, contraindications, preliminary""]"
9638a65bc5e0d1b7cf5e7f27765b575aad20559f,Detecting drug resistance in pancreatic cancer organoids guides optimized chemotherapy treatment,2022,https://doi.org/10.1002/path.5906,"[""Drug combination therapies for cancer treatment show high efficacy but often induce severe side effects, resulting in dose or cycle number reduction. We investigated the impact of neoadjuvant chemotherapy (neoCTx) adaptions on treatment outcome in 59""]"
20feabc323eb4ada3b2abb5ee7137e79bd931b86,Implementation of CDK4/6 Inhibitors and its Influence on the Treatment Landscape of Advanced Breast Cancer Patients – Data from the Real-World Registry PRAEGNANT,2022,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/a-1880-0087.pdf,"[""prognosis over time. Methods The data were extracted from the prospective real-world registry PRAEGNANT (NCT02338167). Patients had to have HER2\u2212 HR+ advanced breast cancer in the first-line metastatic setting. The chosen therapies were described as"", ""In recent years (2018 \u2013 2022), about 70 \u2013 80% of the patient population have been treated with CDK4/6 inhibitors, while endocrine monotherapy was given to about 10% and chemotherapy to about 15% of all patients. The prognosis was worst in patients"", ""treated with chemotherapy. Recently, mainly patients with a good prognosis are being treated with endocrine monotherapy, and patients who are treated with chemotherapy have an unfavorable prognosis. The PFS and OS of patients treated with CDK4/6i +"", ""well as progression-free survival (PFS) and overall survival (OS) in relation to the given therapies and time periods during which they were indicated. Results CDK4/6 inhibitors have been rapidly implemented since their introduction in November 2016.""]"
ac2fde1f64279458b812b60e97dd396e1c27cfde,Emerging Treatment Options for Advanced or Recurrent Endometrial Cancer,2022,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8805805,"[""carboplatin and paclitaxel. In May 2017, the FDA approved single-agent pembrolizumab in microsatellite instability high (MSI-H)/mismatch repair deficient (dMMR) endometrial cancer patients following failure of systemic therapy. Then, in September"", ""2019, the FDA approved pembrolizumab and lenvatinib for women who are not MSI-H or are MMR-proficient. This approval was based on KEYNOTE-146 and Study 111. Among 94 non\u2013MSI-H women, 80% of those treated with pembrolizumab and lenvatinib had tumor""]"
19a0617f534126cf62a83ef981e2ed0b108bacd8,Mesenchymal Stem/Stromal Cells May Decrease Success of Cancer Treatment by Inducing Resistance to Chemotherapy in Cancer Cells,2022,https://www.mdpi.com/2072-6694/14/15/3761/pdf?version=1659434146,"[""of new treatment approaches that will lead to improved treatment outcomes. Abstract The tumour microenvironment, which is comprised of various cell types and the extracellular matrix, substantially impacts tumour initiation, progression, and""]"
360fa0a0b59539f4bc5895a76169b6752034f97a,"A Randomized, Phase III Trial to Evaluate Rucaparib Monotherapy as Maintenance Treatment in Patients With Newly Diagnosed Ovarian Cancer (ATHENA–MONO/GOG-3020/ENGOT-ov45)",2022,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.22.01003?role=tab,"[""disease after chemotherapy, and timing of surgery. The primary end point of investigator-assessed progression-free survival was assessed in a step-down procedure, first in the HRD population (BRCA-mutant or BRCA wild-type/loss of heterozygosity high"", ""tumor), and then in the intent-to-treat population. RESULTS As of March 23, 2022 (data cutoff), 427 and 111 patients were randomly assigned to rucaparib or placebo, respectively (HRD population: 185 v 49). Median progression-free survival (95% CI)""]"
f7c55637df41df9a5e4eb6f464f0a4f6afef4957,Evolving Paradigms in the Systemic Treatment of Advanced Gallbladder Cancer: Updates in Year 2022,2022,https://www.mdpi.com/2072-6694/14/5/1249/pdf?version=1646103968,"[""frontline chemotherapy, incorporation of targeted therapeutics towards driver mutations of genes including HER2, FGFR, BRAF, as well as approaches to unleash host anti-tumor immunity using immune checkpoint inhibitors. Notably, due to the rarity of"", ""BTC in general, most clinical trials included both GBC and cholangiocarcinomas. Here, we provide a review on the pathogenesis of GBC, past and current systemic treatment options focusing specifically on GBC, clinical trials tailored towards its"", ""cancer (GBC) is a biological, anatomical, and clinically distinct subset of biliary tract cancers (BTC), which also include extra- and intra-hepatic cholangiocarcinoma. The advent of next-generation sequencing (NGS) clearly shows that GBC is""]"
d3470c273428c7ba040875e111b3c750d4513ff5,Different treatment regimens in breast cancer visceral crisis: A retrospective cohort study,2022,https://www.frontiersin.org/articles/10.3389/fonc.2022.1048781/pdf,"[""aim of this study was to investigate the clinical characteristics of patients with VC and the prognosis by using different treatment options. Methods According to the 5th European School of Oncology (ESO)\u2013European Society for Medical Oncology (ESMO)"", ""suggested that Eastern Cooperative Oncology Group (ECOG) scores and type of VC were associated with survival. Conclusion Prognosis varied in different types of VC. Patients with BMM had the best prognosis, and DLM had the worst. As treatment options"", ""Objective Breast cancer visceral crisis (VC) is caused by excessive tumor burden leading to severe organ dysfunction with poor prognosis. Traditional chemotherapy reduces the quality of life of patients without significantly improving survival. The""]"
caa57c7de9250f254d12c3232116ba99c4218f5c,AGO Recommendations for the Surgical Therapy of Breast Cancer: Update 2022,2022,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/a-1904-6231.pdf,"[""Abstract The recommendations of the AGO Breast Committee on the surgical therapy of breast cancer were last updated in March 2022 (www.ago-online.de). Since surgical therapy is one of several partial steps in the treatment of breast cancer, extensive""]"
2d55de9aee338f8861bd790cc51260f445a4bb75,[177Lu]Lu-PSMA-617 (PluvictoTM): The First FDA-Approved Radiotherapeutical for Treatment of Prostate Cancer,2022,https://www.mdpi.com/1424-8247/15/10/1292/pdf?version=1666254198,"[""previously received other therapy options (such as inhibition of the androgen receptor pathway and taxane-based chemotherapy). [177Lu]Lu-PSMA-617, which combines a PSMA-specific peptidomimetic with a therapeutical radionuclide, is used in a"", ""In March 2022, [177Lu]Lu-PSMA-617 (PluvictoTM) was approved by the FDA for the treatment of prostate cancer patients. Until now, the approval has been limited to patients with PSMA-positive metastatic castration-resistant prostate cancer who have"", ""radioligand therapy that selectively delivers ionizing radiation to tumor cells, causing their death, while sparing the surrounding healthy tissue. In numerous clinical trials, the efficacy of [177Lu]Lu-PSMA-617 was demonstrated.""]"
6d465c0a123cb49950b00feecc639c2e55ef9645,Applications of Metallic Nanoparticles in the Skin Cancer Treatment,2022,https://downloads.hindawi.com/journals/bmri/2022/2346941.pdf,"[""cancer treatment studies are mostly due to their potential to carry a large dose of drug, resulting in a high concentration of anticancer drugs at the target site. Therefore, off-target toxicity and suffering side effects caused by high concentration"", ""Skin cancer is one of leading cancers globally, divided into two major categories including melanoma and nonmelanoma. Skin cancer is a global concern with an increasing trend, hence novel therapies are essential. The local treatment strategies play a""]"
e34c5f3859b7afdda583604009b61953d074b64b,Photodynamic therapy in breast cancer treatment.,2022,http://jab.zsf.jcu.cz/doi/10.32725/jab.2022.013.pdf,"[""development of agents used to deliver 1O2 to the deep cancerous tissue is a new challenge which can have an efficient impact on this discipline. This review covers the literature between 2000-2022.""]"
499fb95e13b99ab873131d5b7d65126b45e6548d,"The patient, diagnostic, and treatment intervals in adult patients with cancer from high- and lower-income countries: A systematic review and meta-analysis",2022,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.1004110&type=printable,"[""2022 and reported the duration of the following intervals in adult patients diagnosed with primary symptomatic cancer: patient interval (from the onset of symptoms to first presentation to a healthcare professional), diagnostic interval (from first"", ""cancers where diagnosis and treatment initiation may take the longest and reveal the extent of global disparities in early diagnosis and treatment. Efforts should be made to reduce help-seeking times for cancer symptoms in lower-income countries.""]"
4fe238011b9664389f4ccc40997f3df671256bc2,European Society of Cardiology quality indicators for the prevention and management of cancer therapy-related cardiovascular toxicity in cancer treatment,2022,https://academic.oup.com/ehjqcco/article-pdf/9/1/1/48360531/qcac070.pdf,"[""development which comprises (i) identifying the key domains of care for the prevention and management of cancer therapy-related cardiovascular toxicity in patients on cancer treatment, (ii) performing a systematic review of the literature to develop""]"
b5c2bbed8851021ed7e0e911bb2c26880a29413e,"Cancer treatment and survivorship statistics, 2022",2022,https://onlinelibrary.wiley.com/doi/pdfdirect/10.3322/caac.21731,"[""presented for the most prevalent cancer types by race, and cancer\u2010related and treatment\u2010related side\u2010effects are also briefly described. More than 18 million Americans (8.3 million males and 9.7 million females) with a history of cancer were alive on"", ""statistics from the Centers for Disease Control and Prevention\u2019s National Center for Health Statistics, and population projections from the US Census Bureau. Current treatment patterns based on information in the National Cancer Database are"", ""patients, respectively. These treatment disparities are exacerbated by the fact that Black patients continue to be less likely to be diagnosed with stage I disease than White patients for most cancers, with some of the largest disparities for female""]"
5f56e94870cbfc8fb895ca06167b5f304e12faec,Recent Advances in Glycyrrhiza glabra (Licorice)-Containing Herbs Alleviating Radiotherapy- and Chemotherapy-Induced Adverse Reactions in Cancer Treatment,2022,https://www.mdpi.com/2218-1989/12/6/535/pdf?version=1654780804,"[""radiotherapy, and improve the QoL of patients. This comprehensive review will serve as a cornerstone to encourage more scientists to evaluate and develop effective Traditional Chinese medicine prescriptions to improve the side effects of chemotherapy"", ""Cancers represent a significant cause of morbidity and mortality worldwide. They also impose a large economic burden on patients, their families, and health insurance systems. Notably, cancers and the adverse reactions to their therapeutic options,""]"
067bf9b20cb60b6007df316089ac8c20e2efc24e,AGO Recommendations for the Diagnosis and Treatment of Patients with Early Breast Cancer: Update 2022,2022,https://www.karger.com/Article/Pdf/524879,"[""pathology, diagnostic radiology, medical oncology, and radiation oncology with a special focus on breast cancer. Methods: The updated evidence-based treatment recommendation 2022 for early breast cancer (EBC) and metastatic breast cancer of the AGO""]"
3c68a124a1a070728c6924375f58a26652b94269,Immune Checkpoint Blockade Therapy in Patients With Colorectal Cancer Harboring Microsatellite Instability/Mismatch Repair Deficiency in 2022.,2022,https://ascopubs.org/doi/pdfdirect/10.1200/EDBK_349557,"[""predictive of immune checkpoint inhibitor resistance among MSI-H/dMMR tumors are needed (1) to select the best treatment for patients with CRC (anti-PD-[L]1 monotherapy alone or combined with anti-CTLA-4 or chemotherapy) and (2) to develop new""]"
9b33fe01d9309e2b3cbc0ba4c009749ffa95638e,Update Breast Cancer 2022 Part 6 – Advanced-Stage Breast Cancer,2022,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/a-2018-9184.pdf,"[""CDK4/6 inhibitors. These results now form the basis for further research plans to investigate combination therapies and treatment sequencing. Based on the latest published results, sacituzumab govitecan is now available as a second antibody\u2013drug""]"
62b70415c89d75887a96efcd9c3aa978c56210ed,Chinese Society of Clinical Oncology (CSCO) Breast Cancer Guidelines 2022,2022,https://tbcr.amegroups.com/article/viewFile/63879/pdf,"[""Developing guidelines for the diagnosis and treatment of common cancers in China based on the evidence-based practice, the availability of diagnosis and treatment products, and the up-to-date advances in precision medicine is one of the basic tasks""]"
db6888b4167aba9e06cfc23aeda6090050d401df,Breast Cancer in Indonesia in 2022: 30 Years of Marching in Place,2022,https://www.indonesianjournalofcancer.or.id/e-journal/index.php/ijoc/article/download/920/418,"[""cancer by an oncologist correlates with shorter treatment delay [6]. It takes at least 6 years of general surgery training plus 2 more years of surgical oncology training to produce a surgical oncologist. This does not count the 2-5 years of working""]"
